<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,1,20200714,110100,119.4400000,119.4400000,119.3500000,119.3700000,600
US1.IBM,1,20200714,110200,119.3700000,119.4400000,119.3700000,119.3900000,500
US1.IBM,1,20200714,110300,119.3800000,119.4100000,119.3500000,119.4100000,400
US1.IBM,1,20200714,110400,119.5200000,119.5800000,119.5200000,119.5800000,300
US1.IBM,1,20200714,110500,119.6600000,119.7100000,119.6600000,119.7100000,450
US1.IBM,1,20200714,110600,119.5300000,119.5300000,119.4500000,119.4600000,600
US1.IBM,1,20200714,110700,119.4800000,119.5600000,119.4800000,119.5600000,700
US1.IBM,1,20200714,110800,119.5200000,119.7500000,119.5200000,119.7100000,800
US1.IBM,1,20200714,110900,119.7300000,119.7300000,119.6600000,119.6800000,600
US1.IBM,1,20200714,111000,119.8000000,119.8000000,119.7300000,119.7300000,400
US1.IBM,1,20200714,111100,119.7500000,119.7800000,119.7500000,119.7800000,200
US1.IBM,1,20200714,111200,119.8650000,119.9500000,119.7900000,119.7900000,1300
US1.IBM,1,20200714,111300,119.7600000,119.7900000,119.7600000,119.7900000,600
US1.IBM,1,20200714,111400,119.6400000,119.7200000,119.6400000,119.6600000,700
US1.IBM,1,20200714,111500,119.7100000,119.7800000,119.7100000,119.7200000,1200
US1.IBM,1,20200714,111600,119.7550000,119.8400000,119.7550000,119.8100000,300
US1.IBM,1,20200714,111700,119.6000000,119.6000000,119.5800000,119.5800000,400
US1.IBM,1,20200714,111800,119.7400000,119.8000000,119.7400000,119.8000000,600
US1.IBM,1,20200714,111900,119.7800000,119.8900000,119.7800000,119.8500000,400
US1.IBM,1,20200714,112000,119.7700000,119.7700000,119.7700000,119.7700000,100
US1.IBM,1,20200714,112100,119.6850000,119.7900000,119.6850000,119.7300000,400
US1.IBM,1,20200714,112200,119.6000000,119.6000000,119.5850000,119.5850000,200
US1.IBM,1,20200714,112300,119.5650000,119.5650000,119.5300000,119.5300000,200
US1.IBM,1,20200714,112400,119.5000000,119.5000000,119.5000000,119.5000000,100
US1.IBM,1,20200714,112600,119.4100000,119.4300000,119.4100000,119.4300000,200
US1.IBM,1,20200714,112700,119.4500000,119.4500000,119.3400000,119.3700000,698
US1.IBM,1,20200714,112800,119.4500000,119.4500000,119.4500000,119.4500000,100
US1.IBM,1,20200714,112900,119.4300000,119.4300000,119.3700000,119.3700000,400
US1.IBM,1,20200714,113000,119.3500000,119.3500000,119.3500000,119.3500000,335
US1.IBM,1,20200714,113100,119.2200000,119.2500000,119.2100000,119.2500000,500
US1.IBM,1,20200714,113200,119.3900000,119.3900000,119.3600000,119.3600000,300
US1.IBM,1,20200714,113300,119.3500000,119.4400000,119.3500000,119.4400000,300
US1.IBM,1,20200714,113400,119.6800000,119.6800000,119.6600000,119.6600000,300
US1.IBM,1,20200714,113500,119.5900000,119.5900000,119.5900000,119.5900000,200
US1.IBM,1,20200714,113600,119.5500000,119.5500000,119.5500000,119.5500000,100
US1.IBM,1,20200714,113700,119.5000000,119.5400000,119.4900000,119.5400000,400
US1.IBM,1,20200714,113800,119.5000000,119.5000000,119.5000000,119.5000000,100
US1.IBM,1,20200714,113900,119.5050000,119.5050000,119.5050000,119.5050000,100
US1.IBM,1,20200714,114100,119.6100000,119.6600000,119.6100000,119.6600000,200
US1.IBM,1,20200714,114200,119.6700000,119.6900000,119.6700000,119.6800000,400
US1.IBM,1,20200714,114300,119.7200000,119.7200000,119.7200000,119.7200000,100
US1.IBM,1,20200714,114400,119.6400000,119.6400000,119.5700000,119.6000000,500
US1.IBM,1,20200714,114500,119.6200000,119.6500000,119.6200000,119.6500000,200
US1.IBM,1,20200714,114600,119.6600000,119.7800000,119.6600000,119.7000000,1613
US1.IBM,1,20200714,114700,119.6700000,119.6700000,119.5600000,119.5900000,1000
US1.IBM,1,20200714,114800,119.6000000,119.6000000,119.5750000,119.5750000,300
US1.IBM,1,20200714,114900,119.6700000,119.6700000,119.6700000,119.6700000,100
US1.IBM,1,20200714,115000,119.6600000,119.6600000,119.6600000,119.6600000,100
US1.IBM,1,20200714,115200,119.5700000,119.5700000,119.5700000,119.5700000,100
US1.IBM,1,20200714,115500,119.6800000,119.6900000,119.6500000,119.6500000,500
US1.IBM,1,20200714,115600,119.6800000,119.7900000,119.6800000,119.7800000,700
US1.IBM,1,20200714,115700,119.6700000,119.7100000,119.6600000,119.6600000,301
US1.IBM,1,20200714,115800,119.6600000,119.6600000,119.6600000,119.6600000,100
US1.IBM,1,20200714,115900,119.6900000,119.6900000,119.6900000,119.6900000,100
US1.IBM,1,20200714,120100,119.8000000,119.8600000,119.8000000,119.8600000,200
US1.IBM,1,20200714,120200,119.7550000,119.7800000,119.7400000,119.7800000,300
US1.IBM,1,20200714,120300,119.7800000,119.7800000,119.7800000,119.7800000,237
